vin,back_legroom,body_type,city,city_fuel_economy,daysonmarket,dealer_zip,engine_displacement,engine_type,exterior_color,franchise_dealer,front_legroom,fuel_tank_volume,fuel_type,height,highway_fuel_economy,horsepower,interior_color,is_new,latitude,length,listed_date,listing_color,longitude,make_name,maximum_seating,mileage,model_name,power,savings_amount,seller_rating,torque,transmission,transmission_display,wheel_system,wheelbase,width,year,price
SJKCH5CRXHA032566,33.5 in,SUV / Crossover,Great Neck,,20,11021,2000,I4,Black,FALSE,41.3 in,14.8 gal,Gasoline,60.2 in,,208,Brown (Tan),FALSE,40.7774,174.2 in,20-08-20,BLACK,-73.7268,INFINITI,5 seats,40186,QX30,"208 hp @ 5,500 RPM",1522,3.346153846,"258 lb-ft @ 1,200 RPM",A,7-Speed Automatic,AWD,106.3 in,82 in,2017,21495
5LMCJ3D96HUL54638,36.8 in,SUV / Crossover,Wayne,19,64,7470,2300,I4,Magnetic Gray Metallic,TRUE,42.8 in,15.5 gal,Gasoline,65.6 in,25,275,Cappuccino,FALSE,40.9086,179.2 in,07-07-20,GRAY,-74.2609,Lincoln,5 seats,53874,MKC,"275 hp @ 5,500 RPM",740,4.75,"300 lb-ft @ 2,000 RPM",A,6-Speed Automatic,AWD,105.9 in,84.1 in,2017,22459
5LMCJ2D95HUL35217,36.8 in,SUV / Crossover,Wayne,19,14,7470,2300,I4,Burgundy Velvet Metallic Tinted Clearcoat,TRUE,42.8 in,15.5 gal,Gasoline,65.6 in,25,275,Black (Ebony),FALSE,40.9086,179.2 in,26-08-20,RED,-74.2609,Lincoln,5 seats,16898,MKC,"275 hp @ 5,500 RPM",832,4.75,"300 lb-ft @ 2,000 RPM",A,6-Speed Automatic,AWD,105.9 in,84.1 in,2017,24799
2HGFG1B86AH500600,30.3 in,Coupe,Little Ferry,25,13,7643,1800,I4,Blue,FALSE,42.6 in,13.2 gal,Gasoline,55 in,36,140,Gray,FALSE,40.8558,175.5 in,27-08-20,BLUE,-74.0493,Honda,5 seats,181465,Civic Coupe,"140 hp @ 6,300 RPM",983,3.577777778,"128 lb-ft @ 4,300 RPM",A,5-Speed Automatic,FWD,104.3 in,68.9 in,2010,3750
5LMCJ1D95LUL25032,38.6 in,SUV / Crossover,Wayne,21,14,7470,2000,I4,Red,TRUE,43.2 in,16.2 gal,Gasoline,64.1 in,29,250,Black (Ebony),TRUE,40.9086,180.6 in,26-08-20,RED,-74.2609,Lincoln,5 seats,15,Corsair,"250 hp @ 5,500 RPM",0,4.75,"275 lb-ft @ 3,000 RPM",A,8-Speed Automatic,AWD,106.7 in,83 in,2020,40669
3GNAXSEV3LS622824,39.9 in,SUV / Crossover,Bay Shore,,213,11706,1500,I4,Silver Ice Metallic,TRUE,40.9 in,15.6 gal,Gasoline,65.4 in,,170,Medium Ash Gray,TRUE,40.7333,183.1 in,09-02-20,SILVER,-73.2587,Chevrolet,5 seats,,Equinox,"170 hp @ 5,600 RPM",0,3.447761194,"203 lb-ft @ 2,000 RPM",A,6-Speed Automatic Overdrive,4WD,107.3 in,72.6 in,2020,26844
WBA7F2C55JG423985,44.4 in,Sedan,Great Neck,16,181,11021,4400,V8,Black,FALSE,41.4 in,20.6 gal,Gasoline,58.2 in,25,445,Brown (Tan),FALSE,40.7774,206.6 in,12-03-20,BLACK,-73.7268,BMW,5 seats,50342,7 Series,"445 hp @ 5,500 RPM",7581,3.346153846,"479 lb-ft @ 1,800 RPM",A,8-Speed Automatic,AWD,126.4 in,85.4 in,2018,37495
1C6SRFGTXLN114605,45.2 in,Pickup Truck,East Hartford,15,406,6108,5700,V8,Bright White Clearcoat,TRUE,40.9 in,26 gal,Gasoline,77.6 in,21,395,Black,TRUE,41.7696,232.9 in,31-07-19,WHITE,-72.6545,RAM,6 seats,22,1500,"395 hp @ 5,600 RPM",0,4.377777778,"410 lb-ft @ 3,950 RPM",A,Automatic,4WD,144.6 in,82.1 in,2020,35374
4JGDF6EE7HA832444,38.5 in,SUV / Crossover,Great Neck,17,249,11021,3000,V6,Grey,FALSE,40.3 in,26.4 gal,Gasoline,72.8 in,22,362,Black,FALSE,40.7774,201.6 in,04-01-20,GRAY,-73.7268,Mercedes-Benz,7 seats,15914,GLS-Class,"362 hp @ 5,000 RPM",2663,3.346153846,"369 lb-ft @ 1,500 RPM",A,9-Speed Automatic,AWD,121.1 in,84.3 in,2017,44495
JTMBK31V575028422,38.3 in,SUV / Crossover,Little Ferry,19,39,7643,3500,V6,Silver,FALSE,41.8 in,15.9 gal,Gasoline,66.3 in,26,269,Gray,FALSE,40.8558,181.1 in,01-08-20,SILVER,-74.0493,Toyota,7 seats,221396,RAV4,"269 hp @ 6,200 RPM",373,3.577777778,"246 lb-ft @ 4,700 RPM",A,5-Speed Automatic,4WD,104.7 in,71.5 in,2007,4550
KNDJN2A23J7595131,39.1 in,Wagon,Bohemia,25,25,11716,1600,I4,Bright Silver,TRUE,40.9 in,14.2 gal,Gasoline,63.5 in,30,130,Gray,FALSE,40.7589,163 in,15-08-20,SILVER,-73.1055,Kia,5 seats,43171,Soul,"130 hp @ 6,300 RPM",206,3.647058824,"118 lb-ft @ 4,850 RPM",A,6-Speed Automatic,FWD,101.2 in,70.9 in,2018,13219
1C4PJMDX9LD613872,40.3 in,SUV / Crossover,East Hartford,19,189,6108,3200,V6,Diamond Black Crystal Pearlcoat,TRUE,41.1 in,15.9 gal,Gasoline,66.2 in,27,271,Black,TRUE,41.7696,182 in,04-03-20,BLACK,-72.6545,Jeep,5 seats,14,Cherokee,"270 hp @ 5,250 RPM",0,4.377777778,"295 lb-ft @ 3,000 RPM",A,Automatic,4WD,106.6 in,73.2 in,2020,32953
JTMRJREVXJD182443,37.2 in,SUV / Crossover,Patchogue,34,45,11772,2500,I4 Hybrid,SIL,FALSE,42.6 in,14.8 gal,Hybrid,67.1 in,30,194,None,FALSE,40.7827,183.5 in,26-07-20,UNKNOWN,-73.0085,Toyota,5 seats,95045,RAV4 Hybrid,,676,4.166666667,,CVT,Continuously Variable Transmission,AWD,104.7 in,72.6 in,2018,17995
5NPEB4AC8BH173139,34.6 in,Sedan,West Nyack,22,7,10994,2400,I4,Black Plum Pearl,TRUE,45.5 in,18.5 gal,Gasoline,58 in,35,198,Camel,FALSE,41.0912,189.8 in,02-09-20,BLACK,-73.9504,Hyundai,5 seats,92655,Sonata,"198 hp @ 6,300 RPM",659,3.631578947,"184 lb-ft @ 4,250 RPM",A,Automatic,FWD,110 in,72.2 in,2011,6778
